timestamp,campaign,lower_per_mille,upper_per_mille,n_devices
2018-09-15 00:00:00 UTC,1,10,0,20
2018-09-20 00:00:00 UTC,1,30,20,16826
2018-09-22 00:00:00 UTC,2,20,10,4915
2018-09-22 00:00:00 UTC,2,50,40,8165
2018-09-11 00:00:00 UTC,2,30,20,11568
2018-09-15 00:00:00 UTC,1,40,30,2781
2018-09-11 00:00:00 UTC,1,30,20,7449
2018-09-21 00:00:00 UTC,2,30,20,5875
2018-09-18 00:00:00 UTC,2,20,10,5584
2018-09-14 00:00:00 UTC,1,20,10,15907
